#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert,Latitude,Longitude
Elettra-Carroponte2024-4084_pt.jpg,3.45,-1.11,5.623628,-1.491881,1.383445,149.440119,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4085_pt.jpg,3.45,-1.11,5.623628,-1.509571,1.312964,149.955407,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4086_pt.jpg,3.45,-1.11,5.623628,-1.551557,1.292434,150.451388,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4087_pt.jpg,3.45,-1.11,5.623628,-1.618884,1.130566,150.93117,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4088_pt.jpg,3.45,-1.11,5.623628,-1.634622,1.11453,151.434115,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4089_pt.jpg,3.45,-1.11,5.623628,-1.627537,1.182229,151.9463,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4090_pt.jpg,3.45,-1.11,5.623628,-1.697256,1.100558,152.386225,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4091_pt.jpg,3.45,-1.11,5.623628,-1.757829,0.977067,152.878452,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4092_pt.jpg,3.45,-1.11,5.623628,-1.740824,0.996914,153.387698,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4093_pt.jpg,3.45,-1.11,5.623628,-1.821119,0.884185,153.858968,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4094_pt.jpg,3.45,-1.11,5.623628,-1.815588,0.95408,154.34093,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4095_pt.jpg,3.45,-1.11,5.623628,-1.857463,0.953994,154.813378,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4096_pt.jpg,3.45,-1.11,5.623628,-1.867823,0.920929,155.304349,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4097_pt.jpg,3.45,-1.11,5.623628,-1.867076,1.012207,155.808203,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4098_pt.jpg,3.45,-1.11,5.623628,-1.810941,1.059685,156.354112,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4099_pt.jpg,3.45,-1.11,5.623628,-1.849637,0.981323,156.800859,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4100_pt.jpg,3.45,-1.11,5.623628,-1.724799,1.191215,157.324847,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4101_pt.jpg,3.45,-1.11,5.623628,-1.741882,1.206339,157.801586,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4102_pt.jpg,3.45,-1.11,5.623628,-1.681428,1.381986,158.299904,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4103_pt.jpg,3.45,-1.11,5.623628,-1.714595,1.232565,158.810231,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4104_pt.jpg,3.45,-1.11,5.623628,-1.669436,1.417683,159.308703,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4105_pt.jpg,3.45,-1.11,5.623628,-1.689119,1.338258,159.836649,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4106_pt.jpg,3.45,-1.11,5.623628,-1.749529,1.296635,160.334107,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4107_pt.jpg,3.45,-1.11,5.623628,-1.748683,1.309781,160.840389,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4108_pt.jpg,3.45,-1.11,5.623628,-1.772965,1.240013,161.346078,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4109_pt.jpg,3.45,-1.11,5.623628,-1.805795,1.101354,161.862136,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4110_pt.jpg,3.45,-1.11,5.623628,-1.826752,1.068057,162.373611,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4111_pt.jpg,3.45,-1.11,5.623628,-1.802542,1.15378,162.908195,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4112_pt.jpg,3.45,-1.11,5.623628,-1.879254,1.001267,163.384901,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4113_pt.jpg,3.45,-1.11,5.623628,-1.887621,0.96001,163.880089,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4114_pt.jpg,3.45,-1.11,5.623628,-1.926938,0.939408,164.350835,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4115_pt.jpg,3.45,-1.11,5.623628,-1.972147,0.797293,164.820176,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4116_pt.jpg,3.45,-1.11,5.623628,-1.981477,0.906923,165.293026,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4117_pt.jpg,3.45,-1.11,5.623628,-1.986372,0.758058,165.749222,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4118_pt.jpg,3.45,-1.11,5.623628,-2.049773,0.876503,166.180081,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4119_pt.jpg,3.45,-1.11,5.623628,-2.024674,0.782838,166.650107,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4120_pt.jpg,3.45,-1.11,5.623628,-1.984803,0.969104,167.139654,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4121_pt.jpg,3.45,-1.11,5.623628,-1.966083,0.920017,167.634114,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4122_pt.jpg,3.45,-1.11,5.623628,-1.964514,0.938869,168.113998,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4123_pt.jpg,3.45,-1.11,5.623628,-1.934354,0.925201,168.646374,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4124_pt.jpg,3.45,-1.11,5.623628,-1.929298,1.090945,169.106367,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4125_pt.jpg,3.45,-1.11,5.623628,-1.911056,0.936458,169.596885,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4126_pt.jpg,3.45,-1.11,5.623628,-1.910388,1.063788,170.125511,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4127_pt.jpg,3.45,-1.11,5.623628,-1.929968,0.144522,172.937936,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4128_pt.jpg,3.45,-1.11,5.623628,-1.920601,0.160761,173.541376,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4129_pt.jpg,3.45,-1.11,5.623628,-1.940982,0.167132,174.084957,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4130_pt.jpg,3.45,-1.11,5.623628,-1.956533,0.071912,174.662923,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4131_pt.jpg,3.45,-1.11,5.623628,-1.97398,0.003049,175.225724,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4132_pt.jpg,3.45,-1.11,5.623628,-1.944369,0.044349,175.836615,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4133_pt.jpg,3.45,-1.11,5.623628,-1.933902,0.022534,176.463182,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4134_pt.jpg,3.45,-1.11,5.623628,-1.915397,0.3112,177.086467,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4135_pt.jpg,3.45,-1.11,5.623628,-1.878524,0.289632,177.681611,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4136_pt.jpg,3.45,-1.11,5.623628,-1.88062,0.471396,178.312749,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4137_pt.jpg,3.45,-1.11,5.623628,-1.894348,0.511209,178.947429,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4138_pt.jpg,3.45,-1.11,5.623628,-1.834404,0.434307,179.678937,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4139_pt.jpg,3.45,-1.11,5.623628,-1.907563,0.489556,-179.680155,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4140_pt.jpg,3.45,-1.11,5.623628,-1.908974,0.285751,-179.030444,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4141_pt.jpg,3.45,-1.11,5.623628,-1.936541,0.263038,-178.366784,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4142_pt.jpg,3.45,-1.11,5.623628,-1.931677,0.106973,-177.697126,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4143_pt.jpg,3.45,-1.11,5.623628,-2.015313,0.348202,-177.030755,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4144_pt.jpg,3.45,-1.11,5.623628,-1.981773,-0.092587,-176.380125,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4145_pt.jpg,3.45,-1.11,5.623628,-2.0017,-0.018686,-175.728647,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4146_pt.jpg,3.45,-1.11,5.623628,-2.009204,-0.066159,-175.081453,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4147_pt.jpg,3.45,-1.11,5.623628,-2.052053,-0.03072,-174.451552,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4148_pt.jpg,3.45,-1.11,5.623628,-2.036641,0.032992,-173.777404,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4149_pt.jpg,3.45,-1.11,5.623628,-2.022738,-0.006635,-173.160455,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4150_pt.jpg,3.45,-1.11,5.623628,-2.039891,0.12596,-172.523235,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4151_pt.jpg,3.45,-1.11,5.623628,-2.02088,0.167977,-171.853546,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4152_pt.jpg,3.45,-1.11,5.623628,-2.053587,0.20087,-171.209003,1.0,0.3,45.64495512343859,13.850640981970612
